ID,JAN,商品名,ASIN,ブランド,売れ筋ランキング,先月購入数,カテゴリー,セラー数,バリエーション,カート価格,新品現在価格,FBA最安値,仕入価格,粗利益,損益分岐(仕入上限),利益率,ROI,仕入判定,FBA手数料,紹介料率,重量・サイズ,危険物,Amazonリンク,Keepaリンク,sedori_poipoi,画像URL,Amazon本体有無,出品制限フラグ,下落回数(30日),納品送料概算,リサーチ日時,仕入済,発送方法,転送済フラグ,SKU,手配書フラグ,仕入個数
a2fafbe9,4973307724800,スケーター(skater) 子供用 直飲み 水筒 プラスチック 480ml ワンプッシュ開閉 食洗機対応 日本製 ディノサウルス 恐竜 26 男の子 PSB5SAN-A,B0G2X4H228,スケーター(Skater),7429,10,ホーム＆キッチン,6,有,1284,1284,,,,626,,,,465,15,220x100x85mm 150g,No,https://www.amazon.co.jp/dp/B0G2X4H228,https://keepa.com/#!product/5-B0G2X4H228,http://localhost:3000/?q=B0G2X4H228,https://m.media-amazon.com/images/I/61P6oajJr4L.jpg,有,,29,,2026/03/17 13:07,,FBA,,0_20260317_626_B0G2X4H228,,1
99137109,4994527917704,アースペット またたびトイ ねこモテ スリスリニャーシート 1枚入 [2個セット],B0CJWVPPQ1,アース・ペット,56678,2,ペット用品,2,無,900,900,,70,,576,,,,252,8,208x105x25mm 70g,No,https://www.amazon.co.jp/dp/B0CJWVPPQ1,https://keepa.com/#!product/5-B0CJWVPPQ1,http://localhost:3000/?q=B0CJWVPPQ1,https://m.media-amazon.com/images/I/51k7wK-yUtL.jpg,無,,2,,2026/03/15 14:07,,自己発,,70_20260315_576_B0CJWVPPQ1,,1
41acb498,4994527917803,ねこモテ 猫用おもちゃ ケリケリにゃ~マクラ 1個,B08V8WYL5J,アース・ペット,7978,50,ペット用品,14,有,400,400,,70,,-21,,,,389,8,168x124x52mm 40g,No,https://www.amazon.co.jp/dp/B08V8WYL5J,https://keepa.com/#!product/5-B08V8WYL5J,http://localhost:3000/?q=B08V8WYL5J,https://m.media-amazon.com/images/I/71JFPNMUfKL.jpg,有,,35,,2026/03/15 14:06,,自己発,,70_20260315_0_B08V8WYL5J,,1
ba590b07,4994527940603,ねこモテ ケリポンにゃーリボンつき,B0BY21S964,ねこモテ,24949,1,ペット用品,10,無,927,927,,70,,463,,,,389,8,203x131x47mm 20g,No,https://www.amazon.co.jp/dp/B0BY21S964,https://keepa.com/#!product/5-B0BY21S964,http://localhost:3000/?q=B0BY21S964,https://m.media-amazon.com/images/I/610H6IcINIL.jpg,有,,1,,2026/03/15 14:06,,自己発,,70_20260315_463_B0BY21S964,,1
f2b71517,4994527940702,ねこモテ コロルンにゃーデュオ 2個入,B0BY1XTMYV,ねこモテ,28109,3,ペット用品,8,無,729,729,,70,,303,,,,389,5,209x123x39mm 20g,No,https://www.amazon.co.jp/dp/B0BY1XTMYV,https://keepa.com/#!product/5-B0BY1XTMYV,http://localhost:3000/?q=B0BY1XTMYV,https://m.media-amazon.com/images/I/61jJt6Cs2WL.jpg,有,,3,,2026/03/15 14:06,,自己発,,70_20260315_303_B0BY1XTMYV,,1
edbaefaf,4964596487118,excel(エクセル)パウダー&ペンシルアイブロウEXPD01(ナチュラルブラウン)アイブロウペンシルアイブロウブラシアイブロウパウダー 眉毛,B015FG6ZN4,Excel,599,1000,ビューティー,50,有,1600,1600,,1099,140,1239,9%,13%,✖️ 見送り,288,10,150x39x11mm 15g,No,https://www.amazon.co.jp/dp/B015FG6ZN4,https://keepa.com/#!product/5-B015FG6ZN4,http://localhost:3000/?q=B015FG6ZN4,https://m.media-amazon.com/images/I/61rHOgRG+cS.jpg,無,,42,185,2026/03/13 16:53,TRUE,自己発,,0_20260313_1152_B015FG6ZN4,,1
20a93860,4964596487156,excel(エクセル) エクセル パウダー&ペンシルアイブロウEX PD05 グレイッシュブラウン,B01N1U7HND,Excel,203859,1,ビューティー,,無,,,,1099,-1284,-185,0%,-117%,✖️ 見送り,288,8,149x39x12mm 12g,No,https://www.amazon.co.jp/dp/B01N1U7HND,https://keepa.com/#!product/5-B01N1U7HND,http://localhost:3000/?q=B01N1U7HND,https://m.media-amazon.com/images/I/81ialfuZLVL.jpg,無,,1,185,2026/03/13 16:53,,自己発,,0_20260313_0_B01N1U7HND,,1
b7ff31d9,4964596487125,excel(エクセル) エクセル パウダー&ペンシルアイブロウEX PD02 キャメルブラウン,B01NAL2EU1,Excel,356542,0,ビューティー,,無,,,,1099,-1284,-185,0%,-117%,✖️ 見送り,288,10,149x39x13mm 14g,No,https://www.amazon.co.jp/dp/B01NAL2EU1,https://keepa.com/#!product/5-B01NAL2EU1,http://localhost:3000/?q=B01NAL2EU1,https://m.media-amazon.com/images/I/81MkOvX7dZL.jpg,無,,0,185,2026/03/13 16:53,TRUE,自己発,,0_20260313_0_B01NAL2EU1,,1
51c69e1a,4901008316062,キャンメイク ミックスアイブロウカラー C01 チャームピンク 1.0g パウダーアイブロウ カラー眉 ブラシ付,B0BSFBHKN5,キャンメイク,12948,100,ビューティー,16,有,530,530,,329,166,495,31%,50%,✖️ 見送り,222,6,67x35x7mm 10g,No,https://www.amazon.co.jp/dp/B0BSFBHKN5,https://keepa.com/#!product/5-B0BSFBHKN5,http://localhost:3000/?q=B0BSFBHKN5,https://m.media-amazon.com/images/I/51mklQOQIiL.jpg,有,,13,,2026/03/13 16:52,,自己発,,329_20260313_276_B0BSFBHKN5,,1
c107421b,4901008315751,キャンメイク オフするんマスカラ 03 ダークチェリー お湯オフ ウォータープルーフ スマッジプルーフ カールキープ フィルムタイプ 7グラム (x 1),B0BSFCQXMY,キャンメイク,3286,100,ビューティー,23,有,910,910,,659,,615,,,,222,8,118x31x19mm 20g,No,https://www.amazon.co.jp/dp/B0BSFCQXMY,https://keepa.com/#!product/5-B0BSFCQXMY,http://localhost:3000/?q=B0BSFCQXMY,https://m.media-amazon.com/images/I/5102UC0qRGL.jpg,無,,59,,2026/03/13 16:51,,自己発,,659_20260313_615_B0BSFCQXMY,,1
